1664,1749,2000
1669,1748,2000
1673,1746,2000
1678,1745,2000
1683,1743,2000
1688,1742,2000
1693,1740,2000
1697,1739,2000
1702,1738,2000
1707,1737,2000
1712,1736,2000
1717,1735,2000
1722,1734,2000
1726,1733,2000
1731,1732,2000
1736,1732,2000
1741,1731,2000
1746,1730,2000
1751,1730,2000
1756,1729,2000
1760,1729,2000
1765,1729,2000
1770,1728,2000
1775,1728,2000
1780,1728,2000
1785,1728,2000
1790,1728,2000
1795,1728,2000
1800,1728,2000
1805,1728,2000
1810,1728,2000
1815,1729,2000
1820,1729,2000
1825,1729,2000
1830,1730,2000
1835,1730,2000
1841,1731,2000
1846,1732,2000
1851,1732,2000
1856,1733,2000
1862,1734,2000
1867,1735,2000
1872,1736,2000
1878,1737,2000
1883,1738,2000
1889,1739,2000
1894,1741,2000
1900,1742,2000
1905,1743,2000
1911,1745,2000
1917,1746,2000
1908,1737,2000
1900,1727,2000
1891,1716,2000
1883,1706,2000
1874,1696,2000
1864,1686,2000
1855,1676,2000
1845,1665,2000
1835,1655,2000
1825,1645,2000
1815,1634,2000
1805,1623,2000
1794,1613,2000
1783,1602,2000
1772,1591,2000
1761,1580,2000
1750,1569,2000
1739,1558,2000
1727,1547,2000
1716,1536,2000
1704,1524,2000
1692,1513,2000
1680,1501,2000
1668,1489,2000
1656,1478,2000
1644,1466,2000
1632,1454,2000
1620,1442,2000
1608,1430,2000
1595,1418,2000
1583,1405,2000
1571,1393,2000
1558,1381,2000
1546,1368,2000
1534,1355,2000
1522,1343,2000
1509,1330,2000
1497,1317,2000
1485,1304,2000
1473,1291,2000
1461,1278,2000
1449,1265,2000
1437,1252,2000
1425,1238,2000
1413,1225,2000
1402,1212,2000
1390,1198,2000
1378,1185,2000
1367,1172,2000
1355,1158,2000
1356,1160,2000
1356,1162,2000
1357,1164,2000
1357,1166,2000
1357,1168,2000
1357,1170,2000
1357,1172,2000
1357,1174,2000
1357,1176,2000
1357,1178,2000
1356,1180,2000
1356,1183,2000
1356,1185,2000
1355,1187,2000
1355,1190,2000
1354,1192,2000
1354,1194,2000
1353,1197,2000
1352,1199,2000
1352,1202,2000
1351,1204,2000
1350,1207,2000
1349,1209,2000
1348,1212,2000
1347,1215,2000
1346,1217,2000
1345,1220,2000
1344,1223,2000
1342,1226,2000
1341,1228,2000
1340,1231,2000
1338,1234,2000
1337,1237,2000
1335,1240,2000
1334,1243,2000
1332,1246,2000
1331,1249,2000
1329,1252,2000
1327,1255,2000
1326,1258,2000
1324,1261,2000
1322,1264,2000
1320,1268,2000
1318,1271,2000
1316,1274,2000
1314,1277,2000
1312,1281,2000
1310,1284,2000
1308,1287,2000
1306,1291,2000
1315,1299,2000
1323,1308,2000
1332,1317,2000
1340,1325,2000
1348,1334,2000
1357,1343,2000
1365,1352,2000
1374,1361,2000
1382,1370,2000
1390,1379,2000
1398,1388,2000
1407,1397,2000
1415,1406,2000
1423,1415,2000
1431,1425,2000
1439,1434,2000
1447,1443,2000
1455,1452,2000
1463,1461,2000
1471,1471,2000
1479,1480,2000
1486,1489,2000
1494,1499,2000
1502,1508,2000
1509,1517,2000
1517,1527,2000
1524,1536,2000
1531,1546,2000
1539,1555,2000
1546,1564,2000
1553,1574,2000
1560,1583,2000
1567,1593,2000
1574,1602,2000
1581,1612,2000
1588,1621,2000
1594,1631,2000
1601,1640,2000
1607,1650,2000
1613,1660,2000
1620,1669,2000
1626,1679,2000
1632,1688,2000
1638,1698,2000
1644,1708,2000
1650,1717,2000
1655,1727,2000
1661,1737,2000
1666,1747,2000
